ID da Avaliação,Avaliação,Comentário,Avaliador,Data,Fonte
gbp_52a83bbb654385fb0c73b12f7d641a14a87adc21,5,"Resolvido **** Espero que vocês melhorem este processo, e que não ocorram com as demais pessoas o mesmo problema, um a vez que acabam obrigadas a depender deste serviço. ****** Péssima experiência. Estou a 2 dias para fazer o certificado digital. Resposta por telefone “Isto é direito com e-Notariado”, ligação transferida. “Infelizmente estamos com uma alta demanda. Favor aguardar…”. Melhor acabar como serviço. Não aceitam o e-CPF ICP Brasil. O Itaú concentra tudo este cartório. Péssimo atendimento.",Claudio Loureiro,Invalid Date,google
gbp_5924f1700a3c55aa7c0abb1d3fc699d64f6cf97b,5,"Excelente atendimento pelo Sr. Kaio Gomes, educado e eficiente!",Angelo Meyer,Invalid Date,google
gbp_96b0ea2779d8a5dc6d793f1187c72398b4335fdb,5,"Excelente atendimento, agil e fácil de seguir as orientações! Grata",Cristina Comparotto,Invalid Date,google
gbp_7a29e67af5c14bb3c0c34be7575e4257f0ea8501,5,"Ótimo atendimento prestado pela Ana Sophia!!! E atendimento pelo WhatsApp é muito eficiente!",Sofia Gross,Invalid Date,google
gbp_40efd6aaf5fcf2b9f479662bd3efff2ebdd08c5a,5,"Gostei bastante! O serviço foi rápido e fácil. Fui atendida pelo Kaio Gomes.",Elida Regina De Moraes Zuffo,Invalid Date,google
gbp_2c9fc869698a842a8fd47b0480ac5e3f3d54a7b6,5,"Atendimento excelente!! Rápido e eficiente.",Elvira Gomes - GN Setor Praia Caboto,Invalid Date,google
gbp_0e74cc518a6a59d440aef84b6a85cdc6bab363e3,5,"Experiência tranquila e rápida. Fui atendida pelo João, muito gentil, atencioso e educado.",Adriana Farias Rodrigues,Invalid Date,google
gbp_cae03dbdc495f61e1fd36799b6a1aacded628283,1,"Apesar de bem localizado o atendimento deixa muito a desejar pela demora e burocracia. No meu caso precisava fazer uma procuração e fui informada que teria que abrir a solicitação por e-mail, após dias sem resposta, fui lá pessoalmente e disseram que se não me responderam o e-mail que insistisse no whatsapp. Após dias de tentativas, da única vez que a IA me direcionou para o atendente humano, pararam de responder . Assim, julgo o sistema do cartório ineficiente e, a menos que conheça alguém lá dentro, não consegue atendimento minimamente profissional, pois se há espaço físico e pessoal não faz sentido restringir os atos cartorários ao e-mail.",Paula Cabral,Invalid Date,google
gbp_500f61ee9e519f809edf69b26ad731659b2e5f19,5,"O atendimento foi muito rápido e a atende KAREN FIGUEIREDO foi muito solícita. Serviço resolvido com sucesso.",Léo Miranda,Invalid Date,google
gbp_fb13bfebeed9a09345cb8b6f506149e42f7b4510,5,"O Robson Lopez, nos deu um atendimento excelente muito gentil e atencioso somos idosos é temo muito que agradecer tamanha gentileza. DEUS Abençoe!",Deise Aleixo,Invalid Date,google
